date,place,place_id,rating,review_count,new_reviews_week,sentiment_label,sentiment_score,report_path,maps_url
2025-10-20,Pleasant View,ChIJ-2-ZMugNU4cRXL9GFcRRrqM,4.9,814,5,Positive,0.954,reports/2025-10-20/Pleasant_View.md,
2025-10-20,Layton,ChIJMY4HT7ABU4cRy4c9fdaxWvs,4.9,414,3,Positive,0.51,reports/2025-10-20/Layton.md,
2025-10-20,Kearns,ChIJIUoOrwyNUocRUwzGQocvYUc,4.9,447,4,Positive,1.0,reports/2025-10-20/Kearns.md,
2025-10-20,West Valley,ChIJs-ajHLKNUocRkkO6bkNDqvw,4.7,781,5,Positive,0.925,reports/2025-10-20/West_Valley.md,
2025-10-20,Murray,ChIJZZ9Ay1qLUocRdx4fuIR4JO0,4.7,1328,5,Positive,0.79,reports/2025-10-20/Murray.md,
2025-10-20,Draper,ChIJRRGDHveHUocRUs0phtO91cA,4.7,317,1,Positive,0.5,reports/2025-10-20/Draper.md,
2025-10-20,Cedar Hills,ChIJS-gO0piBTYcRQgGTvKmhWmw,4.6,296,2,Positive,0.704,reports/2025-10-20/Cedar_Hills.md,
2025-10-20,Lehi,ChIJBU3KaAF_TYcRDXRnINFqVrc,4.7,338,0,Positive,0.925,reports/2025-10-20/Lehi.md,
2025-10-20,Provo,ChIJr5Bc4XaXTYcRhiP8bvuO890,4.8,657,1,Positive,0.72,reports/2025-10-20/Provo.md,
2025-10-20,Mechanicsburg,ChIJpVZeaADdyIkRKcYGPT7ToQ0,4.9,325,1,Positive,0.93,reports/2025-10-20/Mechanicsburg.md,
2025-10-20,Lemoyne,ChIJuzMJq3vByIkR6G88vcr88B4,4.5,599,2,Positive,0.58,reports/2025-10-20/Lemoyne.md,
2025-10-20,Lower Paxton,ChIJG0ygTT-5yIkR6mwGt6AHOLA,4.6,501,3,Positive,0.549,reports/2025-10-20/Lower_Paxton.md,
2025-10-20,Linglestown,ChIJbYGn7RvHyIkRdwfpTJLHpmY,4.7,232,0,Positive,0.6,reports/2025-10-20/Linglestown.md,
2025-10-20,Lebanon,ChIJb82CdhoDxokRkN84hrDFo8M,4.8,476,1,Positive,0.35,reports/2025-10-20/Lebanon.md,
2025-10-20,Selinsgrove,ChIJlzkojDM_z4kREheIVuR8Ke8,4.7,62,1,Positive,1.0,reports/2025-10-20/Selinsgrove.md,
2025-10-20,West Manchester,ChIJq3MX6zWNyIkR2PJtX4UD1dg,4.6,203,1,Positive,0.735,reports/2025-10-20/West_Manchester.md,
2025-10-20,Mt. Airy,ChIJoXCCLyYtyIkRpTKJEcL335U,4.7,403,1,Positive,1.0,reports/2025-10-20/Mt._Airy.md,
2025-10-20,Clinton,ChIJdaPibmq9t4kR8nlIXd3l-pQ,,0,0,Mixed/Neutral,0.0,reports/2025-10-20/Clinton.md,
2025-10-20,Middle River,ChIJMzZkas_9x4kRFjoJslJnhYk,,0,0,Mixed/Neutral,0.0,reports/2025-10-20/Middle_River.md,
